ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;10000;0,143;0,057;25,509;0,372;0,138;0,174;0,024;17,045;0,498;0,248;-0,032
2500;10000;0,184;0,063;15,559;0,309;0,095;0,156;0,024;8,077;0,278;0,077;0,027
5000;10000;0,150;0,059;16,890;0,357;0,128;0,210;0,024;18,474;0,422;0,178;-0,060
7500;10000;0,152;0,056;60,648;0,732;0,535;0,184;0,022;29,408;0,453;0,205;-0,032
10000;10000;0,126;0,058;25,022;0,340;0,116;0,203;0,021;8,773;0,212;0,045;-0,077
25000;10000;0,127;0,059;16,587;0,275;0,076;0,209;0,024;14,844;0,380;0,144;-0,082
50000;10000;0,121;0,059;17,466;0,403;0,163;0,204;0,024;16,538;0,517;0,267;-0,083
75000;10000;0,138;0,056;32,948;0,595;0,354;0,228;0,022;15,650;0,356;0,127;-0,091
100000;10000;0,143;0,061;57,463;0,697;0,485;0,230;0,024;15,096;0,462;0,213;-0,087
250000;10000;0,154;0,065;21,957;0,477;0,227;0,205;0,026;17,460;0,651;0,424;-0,051
500000;10000;0,277;0,080;15,367;0,399;0,159;0,212;0,040;11,216;0,272;0,074;0,065
750000;10000;0,264;0,085;3,713;0,169;0,029;0,216;0,052;9,309;0,183;0,033;0,048
1000000;10000;0,287;0,096;4,507;0,284;0,081;0,264;0,056;4,307;0,281;0,079;0,023
2500000;10000;0,383;0,157;1,695;0,045;0,002;0,225;0,133;2,269;0,041;0,002;0,158
5000000;10000;0,600;0,240;4,804;0,231;0,054;0,344;0,210;5,926;0,127;0,016;0,256
7500000;10000;0,602;0,320;4,596;0,138;0,019;0,386;0,283;3,148;0,067;0,005;0,216
10000000;10000;0,610;0,477;4,459;0,161;0,026;0,460;0,338;3,711;0,137;0,019;0,150
25000000;10000;0,865;0,836;3,249;0,060;0,004;0,830;0,804;3,608;0,091;0,008;0,035
50000000;10000;1,669;1,598;20,215;0,279;0,078;1,617;1,530;25,216;0,301;0,090;0,052
