ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference;AverageExecutionTimeCPU;Difference_CS_CPU;Difference_CS_CUDA;MaxExecutionTimeCPU;MinExecutionTimeCPU;StandardDeviationCPU;VarianceCPU
64;10000;0,252;0,071;9,306;0,422;0,178;0,242;0,032;8,714;0,331;0,110;0,010;1,118;-0,937;0,081;1,991;1,112;0,017;0,000
256;10000;0,250;0,132;4,209;0,109;0,012;0,191;0,083;5,004;0,107;0,011;0,059;3,420;-3,078;0,047;0,000;0,000;0,000;0,000
512;10000;0,589;0,256;2,271;0,169;0,028;0,428;0,216;2,851;0,130;0,017;0,162;6,224;-5,602;0,183;0,000;0,000;0,000;0,000
1024;10000;0,896;0,683;3,485;0,060;0,004;0,862;0,567;7,652;0,117;0,014;0,034;8,751;-7,876;0,041;0,000;0,000;0,000;0,000
2048;10000;3,348;2,495;47,635;0,975;0,950;3,279;2,061;345,000;4,348;18,908;0,069;32,675;-29,407;0,127;0,000;0,000;0,000;0,000
