ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference;AverageExecutionTimeCPU;Difference_CS_CPU;Difference_CS_CUDA;MaxExecutionTimeCPU;MinExecutionTimeCPU;StandardDeviationCPU;VarianceCPU
64;10000;0,124;0,063;13,296;0,274;0,075;0,164;0,030;16,509;0,210;0,044;-0,041;1,075;-0,849;-0,568;2,093;1,069;0,020;0,000
256;10000;0,361;0,163;7,920;0,350;0,123;0,244;0,110;5,970;0,268;0,072;0,117;3,220;-2,898;0,115;0,000;0,000;0,000;0,000
512;10000;0,497;0,315;4,557;0,104;0,011;0,362;0,258;6,371;0,083;0,007;0,135;5,713;-5,142;0,194;0,000;0,000;0,000;0,000
1024;10000;1,092;0,862;4,554;0,334;0,111;0,840;0,561;3,916;0,089;0,008;0,252;10,104;-9,094;0,179;0,000;0,000;0,000;0,000
2048;10000;4,005;3,375;14,025;0,426;0,182;3,158;2,051;9,829;0,374;0,140;0,847;39,235;-35,312;0,780;0,000;0,000;0,000;0,000
