ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
64;10000;0,252;0,071;9,306;0,422;0,178;0,242;0,032;8,714;0,331;0,110;0,010
256;10000;0,250;0,132;4,209;0,109;0,012;0,191;0,083;5,004;0,107;0,011;0,059
512;10000;0,589;0,256;2,271;0,169;0,028;0,428;0,216;2,851;0,130;0,017;0,162
1024;10000;0,896;0,683;3,485;0,060;0,004;0,862;0,567;7,652;0,117;0,014;0,034
2048;10000;3,348;2,495;47,635;0,975;0,950;3,279;2,061;345,000;4,348;18,908;0,069
