ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;4,840;0,286;8,159;2,022;4,087;0,499;0,313;1,213;0,126;0,016;4,341
2500;1000;4,599;2,246;8,072;2,093;4,379;0,476;0,306;0,989;0,111;0,012;4,124
5000;1000;4,756;2,320;8,459;2,090;4,368;0,494;0,322;1,200;0,129;0,017;4,262
7500;1000;4,653;2,174;8,203;2,100;4,409;0,485;0,321;3,033;0,149;0,022;4,169
10000;1000;4,677;2,321;8,451;2,067;4,273;0,494;0,322;1,250;0,134;0,018;4,183
25000;1000;4,685;2,216;8,075;2,074;4,302;0,538;0,324;1,395;0,162;0,026;4,146
50000;1000;4,411;2,299;8,299;2,059;4,239;0,595;0,343;3,909;0,181;0,033;3,816
75000;1000;4,356;2,387;8,320;2,115;4,474;0,615;0,374;3,095;0,179;0,032;3,741
100000;1000;4,163;2,411;8,427;2,085;4,346;0,633;0,375;1,248;0,143;0,021;3,530
250000;1000;3,783;2,536;8,867;1,894;3,587;0,781;0,565;1,370;0,169;0,028;3,002
500000;1000;3,788;2,896;9,353;1,731;2,997;0,984;0,792;1,829;0,267;0,071;2,804
750000;1000;3,410;1,170;8,883;1,857;3,448;1,160;0,702;2,291;0,341;0,116;2,250
1000000;1000;3,472;1,325;10,599;2,305;5,311;1,447;0,823;3,393;0,525;0,275;2,025
2500000;1000;3,835;2,539;8,784;1,407;1,979;2,138;1,524;4,310;0,522;0,273;1,697
5000000;1000;4,740;4,236;15,948;0,866;0,749;3,016;2,704;9,138;0,463;0,214;1,724
7500000;1000;6,456;6,225;21,486;0,508;0,258;4,158;3,921;12,480;0,311;0,096;2,298
10000000;1000;8,640;8,183;32,084;1,728;2,984;5,388;5,113;14,305;0,355;0,126;3,252
