ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;15,313;1,519;16,264;0,622;0,387;2,160;1,540;6,196;0,411;0,169;13,152
2500;1000;15,380;14,095;16,349;0,365;0,133;2,163;1,599;4,032;0,315;0,099;13,217
5000;1000;15,323;13,235;16,477;0,367;0,134;2,170;1,280;6,578;0,426;0,182;13,153
7500;1000;15,403;13,983;16,202;0,375;0,140;2,101;1,341;3,989;0,308;0,095;13,302
10000;1000;15,334;14,166;16,359;0,354;0,125;2,089;1,504;6,207;0,367;0,135;13,245
25000;1000;15,344;14,401;16,534;0,364;0,132;1,985;1,049;4,066;0,330;0,109;13,359
50000;1000;15,350;13,711;16,312;0,362;0,131;2,086;1,396;3,928;0,319;0,102;13,264
75000;1000;15,344;13,196;16,359;0,391;0,153;2,291;1,816;3,972;0,360;0,129;13,053
100000;1000;15,270;13,908;16,570;0,408;0,167;2,374;1,633;4,208;0,478;0,228;12,896
250000;1000;15,240;13,456;29,004;0,632;0,400;2,802;1,873;5,516;0,746;0,557;12,439
500000;1000;15,699;11,830;34,482;2,944;8,669;4,278;3,818;8,629;0,582;0,339;11,421
750000;1000;19,041;10,570;77,482;7,671;58,845;4,364;3,289;43,128;1,981;3,923;14,676
1000000;1000;15,996;13,942;37,101;2,352;5,530;4,458;3,983;7,500;0,644;0,415;11,538
2500000;1000;42,220;34,810;56,121;4,746;22,528;10,987;8,057;18,540;2,771;7,681;31,234
5000000;1000;84,273;69,084;131,568;9,210;84,833;22,221;14,773;52,656;5,254;27,600;62,051
7500000;1000;122,766;102,945;190,385;14,199;201,601;29,789;21,463;74,785;8,250;68,057;92,977
10000000;1000;170,048;136,534;266,546;19,302;372,585;41,769;27,231;98,951;11,812;139,525;128,279
