ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;4,489;0,255;8,988;2,103;4,424;0,699;0,330;2,924;0,246;0,061;3,790
2500;1000;4,339;2,181;9,054;2,078;4,319;0,696;0,341;2,656;0,228;0,052;3,643
5000;1000;4,387;2,250;9,525;2,111;4,458;0,713;0,373;2,584;0,218;0,047;3,675
7500;1000;4,303;2,170;9,142;2,132;4,548;0,724;0,369;3,357;0,242;0,059;3,579
10000;1000;4,117;2,167;9,427;2,093;4,381;0,715;0,372;2,929;0,268;0,072;3,402
25000;1000;4,329;2,234;9,522;2,101;4,413;0,712;0,381;2,825;0,218;0,048;3,618
50000;1000;4,411;2,233;9,211;2,098;4,403;0,675;0,423;4,546;0,251;0,063;3,736
75000;1000;4,097;2,138;8,908;2,049;4,200;0,663;0,422;3,154;0,248;0,061;3,434
100000;1000;4,065;2,313;9,166;2,060;4,244;0,649;0,409;2,975;0,227;0,051;3,415
250000;1000;3,836;2,071;20,018;2,199;4,838;0,801;0,543;3,171;0,195;0,038;3,035
500000;1000;3,789;2,546;11,855;1,870;3,498;0,919;0,694;2,703;0,201;0,041;2,870
750000;1000;3,881;2,875;11,651;1,692;2,861;1,080;0,847;2,967;0,232;0,054;2,800
1000000;1000;3,872;3,024;12,729;1,527;2,331;1,221;0,999;3,045;0,245;0,060;2,651
2500000;1000;4,397;2,111;13,670;1,482;2,196;2,187;1,497;7,409;0,402;0,161;2,210
5000000;1000;4,869;4,068;47,191;2,287;5,230;3,072;2,675;28,659;0,945;0,893;1,796
7500000;1000;6,527;5,902;33,104;2,145;4,600;4,169;3,856;21,293;0,591;0,349;2,358
10000000;1000;8,326;7,845;31,471;1,572;2,470;5,272;5,005;14,180;0,350;0,123;3,054
