ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;4,001;0,130;24,459;2,439;5,949;0,718;0,343;2,569;0,371;0,138;3,283
2500;1000;4,036;2,130;9,511;2,115;4,471;0,624;0,326;1,829;0,175;0,031;3,412
5000;1000;3,926;0,169;20,845;2,634;6,938;0,652;0,360;1,995;0,174;0,030;3,274
7500;1000;4,161;2,148;9,218;2,151;4,626;0,672;0,378;1,366;0,148;0,022;3,489
10000;1000;4,255;1,967;21,025;2,416;5,839;0,700;0,395;3,353;0,192;0,037;3,555
25000;1000;4,436;2,190;9,277;2,144;4,597;0,727;0,403;1,539;0,127;0,016;3,709
50000;1000;4,316;1,804;20,371;2,505;6,276;0,692;0,442;3,149;0,176;0,031;3,624
75000;1000;3,007;0,170;47,418;2,643;6,985;0,754;0,424;6,079;0,443;0,196;2,253
100000;1000;1,487;0,181;8,877;1,845;3,405;0,831;0,436;7,613;0,554;0,307;0,656
250000;1000;1,590;0,306;8,945;1,930;3,724;0,961;0,542;3,261;0,455;0,207;0,629
500000;1000;2,056;0,495;10,002;1,613;2,603;1,107;0,676;4,204;0,538;0,290;0,948
750000;1000;2,229;0,673;10,073;1,663;2,766;1,193;0,790;3,497;0,566;0,321;1,036
1000000;1000;2,435;0,865;9,997;1,557;2,424;1,262;0,884;3,791;0,480;0,230;1,173
2500000;1000;3,226;2,064;7,479;1,012;1,025;1,922;1,533;3,677;0,235;0,055;1,304
5000000;1000;4,523;3,955;16,129;0,637;0,405;3,024;2,781;8,777;0,284;0,081;1,500
7500000;1000;6,402;6,004;33,917;1,266;1,603;4,192;3,902;20,991;0,577;0,333;2,210
10000000;1000;8,319;7,971;29,329;0,740;0,548;5,407;5,068;15,279;0,404;0,163;2,912
