ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
64;1000;0,065;0,053;0,151;0,015;0,000;0,075;0,027;0,278;0,022;0,000;-0,010
256;1000;0,122;0,105;0,242;0,015;0,000;0,104;0,076;0,194;0,013;0,000;0,018
512;1000;0,300;0,257;0,377;0,016;0,000;0,254;0,183;0,341;0,012;0,000;0,046
1024;1000;1,015;0,873;2,380;0,111;0,012;0,817;0,583;1,412;0,070;0,005;0,198
2048;1000;3,842;3,367;11,312;0,289;0,083;2,973;2,033;12,548;0,447;0,200;0,869
