ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
1000;1000;0,350;0,060;2,477;0,699;0,489;0,542;0,028;2,426;0,591;0,350;-0,192
2500;1000;0,306;0,063;2,467;0,679;0,462;0,531;0,028;2,860;0,567;0,322;-0,225
5000;1000;0,319;0,063;2,457;0,691;0,477;0,584;0,029;2,608;0,542;0,293;-0,266
7500;1000;0,255;0,064;2,373;0,602;0,363;0,557;0,032;2,457;0,569;0,324;-0,302
10000;1000;0,310;0,066;2,450;0,672;0,452;0,572;0,034;2,433;0,548;0,301;-0,262
25000;1000;0,324;0,073;2,407;0,658;0,433;0,554;0,034;2,204;0,467;0,218;-0,230
50000;1000;0,278;0,089;2,378;0,461;0,212;0,453;0,033;2,188;0,391;0,153;-0,175
75000;1000;0,093;0,060;1,063;0,092;0,009;0,109;0,028;1,092;0,168;0,028;-0,016
100000;1000;0,084;0,067;0,184;0,020;0,000;0,079;0,027;0,126;0,022;0,000;0,005
250000;1000;0,127;0,106;0,628;0,027;0,001;0,065;0,030;0,226;0,016;0,000;0,063
500000;1000;0,187;0,171;0,492;0,025;0,001;0,060;0,028;0,235;0,016;0,000;0,127
750000;1000;0,252;0,236;0,398;0,021;0,000;0,066;0,026;0,346;0,025;0,001;0,186
1000000;1000;0,320;0,300;0,623;0,026;0,001;0,049;0,026;0,236;0,022;0,000;0,270
2500000;1000;0,721;0,691;0,980;0,040;0,002;0,093;0,052;0,318;0,012;0,000;0,628
5000000;1000;1,389;1,341;1,744;0,065;0,004;0,112;0,102;0,187;0,013;0,000;1,277
7500000;1000;2,037;1,989;2,572;0,099;0,010;0,140;0,121;0,616;0,019;0,000;1,897
10000000;1000;2,723;2,686;3,380;0,122;0,015;0,161;0,150;0,211;0,013;0,000;2,562
25000000;1000;6,695;6,575;8,222;0,288;0,083;0,302;0,293;0,348;0,011;0,000;6,393
50000000;1000;13,310;13,170;16,206;0,566;0,321;0,540;0,528;0,585;0,014;0,000;12,769
