ArraySize;SampleCount;AverageExecutionTimeCS;MinExecutionTimeCS;MaxExecutionTimeCS;StandardDeviationCS;VarianceCS;AverageExecutionTimeCUDA;MinExecutionTimeCUDA;MaxExecutionTimeCUDA;StandardDeviationCUDA;VarianceCUDA;Difference
64;1000;0,112;0,095;0,248;0,016;0,000;0,093;0,058;0,383;0,046;0,002;0,019
256;1000;0,325;0,115;1,482;0,221;0,049;0,299;0,077;1,639;0,225;0,051;0,026
512;1000;0,539;0,253;1,235;0,129;0,017;0,403;0,207;1,073;0,092;0,008;0,136
1024;1000;0,865;0,677;2,951;0,163;0,027;0,821;0,565;1,968;0,107;0,011;0,044
2048;1000;3,133;2,474;3,396;0,246;0,061;2,960;2,021;3,186;0,333;0,111;0,174
